name,shipping_address,phone
Nguyen Van A,123 Le Loi Q1 TP.HCM,0901234567
Tran Thi B,456 Nguyen Trai Q5 TP.HCM,0912345678
Le Van C,789 Tran Hung Dao Q5 TP.HCM,0923456789
Pham Thi D,101 Hai Ba Trung Q1 TP.HCM,0934567890
Hoang Van E,202 Cach Mang Thang 8 Q3 TP.HCM,0945678901
Vu Thi F,303 Dien Bien Phu Binh Thanh TP.HCM,0956789012
Dang Van G,404 Vo Van Tan Q3 TP.HCM,0967890123
Bui Thi H,505 Ly Thuong Kiet Tan Binh TP.HCM,0978901234
Do Van I,606 Cong Hoa Tan Binh TP.HCM,0989012345
Ngo Thi K,707 Hoang Van Thu Phu Nhuan TP.HCM,0990123456
